frame,vehicle_id,x_position,y_position,spawn_x,spawn_y,relative_x,relative_y,speed_px_per_s
72,36,222.91667,295.83334,243.75,546.5278,-20.833328,-250.69443,0
72,36,222.91667,295.83334,243.75,546.5278,-20.833328,-250.69443,0
73,36,221.875,283.33334,243.75,546.5278,-21.875,-263.19443,0
73,36,221.875,283.33334,243.75,546.5278,-21.875,-263.19443,0
74,36,220.05208,269.44446,243.75,546.5278,-23.697922,-277.0833,0
74,36,220.05208,269.44446,243.75,546.5278,-23.697922,-277.0833,0
75,36,219.01042,257.6389,243.75,546.5278,-24.739578,-288.8889,0
75,36,219.01042,257.6389,243.75,546.5278,-24.739578,-288.8889,0
76,36,218.22917,245.83333,243.75,546.5278,-25.520828,-300.69446,0
76,36,218.22917,245.83333,243.75,546.5278,-25.520828,-300.69446,0
77,36,217.1875,234.72223,243.75,546.5278,-26.5625,-311.80554,0
77,36,217.1875,234.72223,243.75,546.5278,-26.5625,-311.80554,0
78,36,216.14583,224.30556,243.75,546.5278,-27.604172,-322.22223,0
78,36,216.14583,224.30556,243.75,546.5278,-27.604172,-322.22223,0
79,36,214.84375,211.80556,243.75,546.5278,-28.90625,-334.72223,0
79,36,214.84375,211.80556,243.75,546.5278,-28.90625,-334.72223,0
80,36,214.58333,202.08333,243.75,546.5278,-29.166672,-344.44446,0
80,36,214.58333,202.08333,243.75,546.5278,-29.166672,-344.44446,0
81,36,213.54167,193.05556,243.75,546.5278,-30.208328,-353.47223,0
81,36,213.54167,193.05556,243.75,546.5278,-30.208328,-353.47223,0
82,36,213.02083,184.72223,243.75,546.5278,-30.729172,-361.80554,0
82,36,213.02083,184.72223,243.75,546.5278,-30.729172,-361.80554,0
83,36,212.5,175.69444,243.75,546.5278,-31.25,-370.8333,0
83,36,212.5,175.69444,243.75,546.5278,-31.25,-370.8333,0
84,36,211.97917,166.66667,243.75,546.5278,-31.770828,-379.86108,0
84,36,211.97917,166.66667,243.75,546.5278,-31.770828,-379.86108,0
85,36,210.67708,158.33333,243.75,546.5278,-33.07292,-388.19446,0
85,36,210.67708,158.33333,243.75,546.5278,-33.07292,-388.19446,0
86,36,209.89583,150.69444,243.75,546.5278,-33.85417,-395.8333,0
86,36,209.89583,150.69444,243.75,546.5278,-33.85417,-395.8333,0
87,36,209.11458,141.66667,243.75,546.5278,-34.63542,-404.86108,0
87,36,209.11458,141.66667,243.75,546.5278,-34.63542,-404.86108,0
88,36,208.59375,133.33333,243.75,546.5278,-35.15625,-413.19446,0
88,36,208.59375,133.33333,243.75,546.5278,-35.15625,-413.19446,0
89,36,207.55208,127.083336,243.75,546.5278,-36.19792,-419.44443,0
89,36,207.55208,127.083336,243.75,546.5278,-36.19792,-419.44443,0
90,36,207.29167,120.833336,243.75,546.5278,-36.45833,-425.69443,0
90,36,207.29167,120.833336,243.75,546.5278,-36.45833,-425.69443,0
91,36,207.55208,115.27778,243.75,546.5278,-36.19792,-431.25,0
91,36,207.55208,115.27778,243.75,546.5278,-36.19792,-431.25,0
92,36,206.77083,108.333336,243.75,546.5278,-36.97917,-438.19443,0
92,36,206.77083,108.333336,243.75,546.5278,-36.97917,-438.19443,0
93,36,205.72917,101.388885,243.75,546.5278,-38.02083,-445.1389,0
93,36,205.72917,101.388885,243.75,546.5278,-38.02083,-445.1389,0
94,36,205.20833,95.833336,243.75,546.5278,-38.54167,-450.69443,0
94,36,205.20833,95.833336,243.75,546.5278,-38.54167,-450.69443,0
95,36,204.94792,89.583336,243.75,546.5278,-38.80208,-456.94443,0
95,36,204.94792,89.583336,243.75,546.5278,-38.80208,-456.94443,0
96,36,204.42708,84.72222,243.75,546.5278,-39.32292,-461.80554,0
96,36,204.42708,84.72222,243.75,546.5278,-39.32292,-461.80554,0
97,36,203.90625,79.166664,243.75,546.5278,-39.84375,-467.3611,0
97,36,203.90625,79.166664,243.75,546.5278,-39.84375,-467.3611,0
98,36,203.38542,75.69444,243.75,546.5278,-40.36458,-470.8333,0
98,36,203.38542,75.69444,243.75,546.5278,-40.36458,-470.8333,0
99,36,203.64583,69.44444,243.75,546.5278,-40.10417,-477.0833,0
99,36,203.64583,69.44444,243.75,546.5278,-40.10417,-477.0833,0
100,36,202.34375,63.88889,243.75,546.5278,-41.40625,-482.6389,0
100,36,202.34375,63.88889,243.75,546.5278,-41.40625,-482.6389,0
101,36,202.34375,59.72222,243.75,546.5278,-41.40625,-486.80554,0
101,36,202.34375,59.72222,243.75,546.5278,-41.40625,-486.80554,0
102,36,201.5625,54.166668,243.75,546.5278,-42.1875,-492.3611,0
102,36,201.5625,54.166668,243.75,546.5278,-42.1875,-492.3611,0
103,36,200.78125,48.61111,243.75,546.5278,-42.96875,-497.91666,0
103,36,200.78125,48.61111,243.75,546.5278,-42.96875,-497.91666,0
104,36,199.47917,45.13889,243.75,546.5278,-44.27083,-501.3889,0
104,36,199.47917,45.13889,243.75,546.5278,-44.27083,-501.3889,0
105,36,200.0,42.36111,243.75,546.5278,-43.75,-504.16666,0
105,36,200.0,42.36111,243.75,546.5278,-43.75,-504.16666,0
106,36,199.21875,39.583332,243.75,546.5278,-44.53125,-506.94443,0
106,36,199.21875,39.583332,243.75,546.5278,-44.53125,-506.94443,0
107,36,199.47917,36.11111,243.75,546.5278,-44.27083,-510.41666,0
107,36,199.47917,36.11111,243.75,546.5278,-44.27083,-510.41666,0
108,36,198.69792,28.472221,243.75,546.5278,-45.05208,-518.05554,0
108,36,198.69792,28.472221,243.75,546.5278,-45.05208,-518.05554,0
109,36,198.17708,27.777779,243.75,546.5278,-45.57292,-518.75,0
109,36,198.17708,27.777779,243.75,546.5278,-45.57292,-518.75,0
110,36,197.65625,22.916666,243.75,546.5278,-46.09375,-523.6111,0
110,36,197.65625,22.916666,243.75,546.5278,-46.09375,-523.6111,0
111,36,197.65625,15.972222,243.75,546.5278,-46.09375,-530.55554,0
111,36,197.65625,15.972222,243.75,546.5278,-46.09375,-530.55554,0
112,36,197.39583,12.5,243.75,546.5278,-46.35417,-534.0278,0
112,36,197.39583,12.5,243.75,546.5278,-46.35417,-534.0278,0
113,36,197.39583,8.333333,243.75,546.5278,-46.35417,-538.19446,0
113,36,197.39583,8.333333,243.75,546.5278,-46.35417,-538.19446,0
114,36,196.61458,5.5555553,243.75,546.5278,-47.13542,-540.9722,0
114,36,196.61458,5.5555553,243.75,546.5278,-47.13542,-540.9722,0
115,36,196.35417,2.0833333,243.75,546.5278,-47.39583,-544.44446,0
115,36,196.35417,2.0833333,243.75,546.5278,-47.39583,-544.44446,0
84,38,108.072914,590.2778,108.072914,590.2778,0.0,0.0,0
84,38,108.072914,590.2778,108.072914,590.2778,0.0,0.0,0
85,38,111.458336,561.1111,108.072914,590.2778,3.3854218,-29.166687,0
85,38,111.458336,561.1111,108.072914,590.2778,3.3854218,-29.166687,0
86,38,114.0625,535.4167,108.072914,590.2778,5.989586,-54.861084,0
86,38,114.0625,535.4167,108.072914,590.2778,5.989586,-54.861084,0
